Date,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
04/10/2019,0,3,3,0,2,4,6,30309
04/11/2019,0,0,1,0,0,1,1,30309
04/12/2019,0,0,0,0,0,0,0,30309
04/13/2019,0,0,0,0,0,0,0,30309
04/14/2019,0,0,0,0,0,0,0,30309
04/15/2019,0,1,2,0,0,3,3,30309
04/16/2019,0,0,1,0,0,1,1,30309
04/17/2019,0,1,0,0,0,1,1,30309
04/18/2019,0,2,0,0,2,0,2,30309
04/19/2019,0,2,2,0,1,3,4,30309
04/20/2019,0,0,0,0,0,0,0,30309
04/21/2019,0,0,0,0,0,0,0,30309
04/22/2019,0,0,0,0,0,0,0,30309
04/23/2019,0,0,0,0,0,0,0,30309
04/24/2019,0,1,0,0,1,0,1,30309
04/25/2019,0,0,1,0,0,1,1,30309
04/26/2019,0,1,0,0,1,0,1,30309
04/27/2019,0,0,0,0,0,0,0,30309
04/28/2019,0,1,2,0,1,2,3,30309
04/29/2019,0,1,1,0,1,1,2,30309
04/30/2019,0,2,2,0,1,3,4,30309
05/01/2019,0,2,0,0,1,1,2,30309
05/02/2019,0,4,0,2,2,4,6,30309
05/03/2019,0,0,0,0,0,0,0,30309
05/04/2019,0,0,1,0,0,1,1,30309
05/05/2019,0,0,0,0,0,0,0,30309
05/06/2019,0,3,2,2,2,5,7,30309
05/07/2019,0,2,0,0,1,1,2,30309
05/08/2019,0,2,1,0,1,2,3,30309
05/09/2019,0,4,2,0,3,3,6,30309
05/10/2019,0,0,0,0,0,0,0,30309
05/11/2019,0,0,0,0,0,0,0,30309
05/12/2019,0,1,0,1,0,2,2,30309
05/13/2019,0,4,0,0,2,2,4,30309
05/14/2019,0,4,3,0,2,5,7,30309
05/15/2019,0,0,0,0,0,0,0,30309
05/16/2019,0,0,4,0,0,4,4,30309
05/17/2019,0,2,1,0,0,3,3,30309
05/18/2019,0,0,1,0,0,1,1,30309
